Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,G,OOBP,OSLG
ANA,AL,2002,851,644,99,0.341,0.433,0.282,1,162,0.314,0.392
ARI,NL,2002,819,674,98,0.346,0.423,0.267,1,162,0.305,0.397
ATL,NL,2002,708,565,101,0.331,0.409,0.26,1,161,0.313,0.364
BAL,AL,2002,667,773,67,0.309,0.403,0.246,0,162,0.336,0.435
BOS,AL,2002,859,665,93,0.345,0.444,0.277,0,162,0.308,0.385
CHC,NL,2002,706,759,67,0.321,0.413,0.246,0,162,0.331,0.407
CHW,AL,2002,856,798,81,0.338,0.449,0.268,0,162,0.33,0.423
CIN,NL,2002,709,774,78,0.33,0.408,0.253,0,162,0.338,0.426
CLE,AL,2002,739,837,74,0.321,0.412,0.249,0,162,0.348,0.423
COL,NL,2002,778,898,73,0.337,0.423,0.274,0,162,0.349,0.466
DET,AL,2002,575,864,55,0.3,0.379,0.248,0,161,0.343,0.455
FLA,NL,2002,699,763,79,0.337,0.403,0.261,0,162,0.341,0.415
HOU,NL,2002,749,695,84,0.338,0.417,0.262,0,162,0.33,0.41
KCR,AL,2002,737,891,62,0.323,0.398,0.256,0,162,0.349,0.464
LAD,NL,2002,713,643,92,0.32,0.409,0.264,0,162,0.315,0.387
MIL,NL,2002,627,821,56,0.32,0.39,0.253,0,162,0.352,0.442
MIN,AL,2002,768,712,94,0.332,0.437,0.272,1,161,0.318,0.421
MON,NL,2002,735,718,83,0.334,0.418,0.261,0,162,0.329,0.421
NYM,NL,2002,690,703,75,0.322,0.395,0.256,0,161,0.327,0.403
NYY,AL,2002,897,697,103,0.354,0.455,0.275,1,161,0.309,0.395
OAK,AL,2002,800,654,103,0.339,0.432,0.261,1,162,0.315,0.384
PHI,NL,2002,710,724,80,0.339,0.422,0.259,0,161,0.328,0.401
PIT,NL,2002,641,730,72,0.319,0.381,0.244,0,161,0.342,0.423
SDP,NL,2002,662,815,66,0.321,0.381,0.253,0,162,0.346,0.442
SEA,AL,2002,814,699,93,0.35,0.419,0.275,0,162,0.315,0.41
SFG,NL,2002,783,616,95,0.344,0.442,0.267,1,162,0.319,0.372
STL,NL,2002,787,648,97,0.338,0.425,0.268,1,162,0.323,0.386
TBD,AL,2002,673,918,55,0.314,0.39,0.253,0,161,0.357,0.463
TEX,AL,2002,843,882,72,0.338,0.455,0.269,0,162,0.355,0.451
TOR,AL,2002,813,828,78,0.327,0.43,0.261,0,162,0.344,0.431
